prompt_name,keywords,prompt_content,prompt_source,language,task_type,Goal,Theme,career
Judgment Question,Judgment Question,"Please answer the below Yes / No question.

Is ""{{text}}"" related to adverse drug effect (ADE)?",promptsource,English,closed-ended question,Informational/Identification,healthcare and medicine,medical
Answer the question from the text,adverse drug effect Question Answer,"Read the below text and answer the question.

Text: {{text}}

Question: Is the above text related to adverse drug effect (ADE)? Your answer should be either ""Yes"" or ""No"".",promptsource,English,reading comprehension,Informational/Identification,healthcare and medicine,medical
find drug,adverse drug effect Question Answer,"Read the below text and answer the question.

Text: {{text}}

Question: What drug has an effect of {{effect}}?",promptsource,English,reading comprehension,Informational/Identification,healthcare and medicine,medical
drug and effect to text,adverse drug effect medical report writing,{{drug}} has an effect of {{effect}}. Please write a short medical report about this.,promptsource,English,writing report,Writing/Expression,healthcare and medicine,medical
find effect,Drug Effect Extraction,"Read the below text and answer the question.

Text: {{text}}

Question: What effect does {{drug}} have?",promptsource,English,reading comprehension,Informational/Identification,healthcare and medicine,medical
find drug and effect,Drug Effect Extraction,"Read the below text and answer the question.

Text: {{text}}

Question: What are the drug and its effect of the above text?

You should answer in the ""drug"" and ""effect"" format (e.g., alcohol and high blood pressure)",promptsource,English,reading comprehension,Informational/Identification,healthcare and medicine,medical
find drug and effect two questions,Drug effect extraction,"Read the below text and answer the two following questions.

Text: {{text}}

Question 1: What is the drug in the above text?

Question 2: What is the effect of it?

You should answer in the ""drug"" and ""effect"" format (e.g., alcohol and high blood pressure)",promptsource,English,reading comprehension,Informational/Identification,healthcare and medicine,medical
find drug,Drug dosage Extraction,"Read the below text and answer the question.

Text: {{text}}

Question: What drug has a dosage of {{dosage}}?",promptsource,English,reading comprehension,Informational/Identification,healthcare and medicine,medical
drug and dosage to text,medical report about dosage,{{dosage}} of {{drug}} was given to a patient. Please write a short medical report about this.,promptsource,English,writing report,Writing/Expression,healthcare and medicine,medical
find drug and dosage two questions,Extract drug and dosage,"Read the below text and answer the two following questions.

Text: {{text}}


Question 1: What is the drug in the above text?

Question 2: What is the dosage of it?

You should answer in the ""drug"" and ""dosage"" format (e.g., Aspirin and 500mg)",promptsource,English,reading comprehension,Informational/Identification,healthcare and medicine,medical
find dosage,Extract drug and dosage,"Read the below text and answer the question.

Text: {{text}}

Question: What is the dosage of {{drug}}?",promptsource,English,reading comprehension,Informational/Identification,healthcare and medicine,medical
find drug and dosage,Extract drug and dosage,"Read the below text and answer the question.

Text: {{text}}

Question: What are the drug and its dosage of the above text?

You should answer in the ""drug"" and ""dosage"" format (e.g., Aspirin and 500mg)",promptsource,English,reading comprehension,Informational/Identification,healthcare and medicine,medical
generate question,question generation,"I want to test the ability of students to read a passage and answer questions about it. Could you please come up with a good question for the passage ""{{context}}""?",promptsource,English,reading comprehension,Writing/Expression,reading comprehension,education
tell what it is,answer generation,"I know that the answer to the question ""{{question}}"" is in ""{{context}}"". Can you tell me what it is?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,education
Extract answer from context,answer generation,"Extract the answer to the question from the following context.
Question: {{question}}
Context: {{context}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,education
answer the following question,answer generation,"Given the following passage

""{{context}}"",

answer the following question. Note that the answer is present within the text.

Question: {{question}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,education
what is this email about,Email overview,"{{ email_body }}

What is this email about?",promptsource,English,reading comprehension,Informational/Identification,email,all
what is the subject of this email,Email subject,"What is the subject of this email:

{{ email_body }}",promptsource,English,reading comprehension,Informational/Identification,email,all
the text below,Email topic,"The text below is the content of an email. What is the topic of this email?

{{ email_body }}",promptsource,English,reading comprehension,Informational/Identification,email,all
generate subject line,Email subject line,"Generate a subject line for the email body below:

{{ email_body }}",promptsource,English,writing subject line,Writing/Expression,email,all
what about,Email overview,"What is this email about:

{{ email_body }}",promptsource,English,closed-ended question,Informational/Identification,email,all
what subject of email,Email subject,"{{ email_body }}

What is the subject of this email?",promptsource,English,reading comprehension,Informational/Identification,email,all
generate subject,Email subject,"{{ email_body }}

Generate a subject line for the email body above.",promptsource,English,writing subject line,Writing/Expression,email,all
Email topic,Email topic,"{{ email_body }}

The above text is the content of an email. What is the topic of this email?",promptsource,English,reading comprehension,Informational/Identification,email,all
